voter_id,first_name,last_name,birth_year,address_line,city,postal_code,latitude,longitude,registration_status,reported_district,source_file,last_updated,received_date,matched_district,duplicate_id_flag,duplicate_person_address_flag,missing_address_flag,invalid_postal_code_flag,missing_location_flag,out_of_region_flag,unmatched_district_flag,district_mismatch_flag,stale_record_flag,anomaly_count,anomaly_types,needs_review
SIM-VR-00001,Drew,Sample,1985,1087 Cook St,Esquimalt,V2P 9H7,48.410287,-123.435799,Active,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2024-11-15,2026-06-02,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00002,Casey,Mock,1971,282 Douglas St,Oak Bay,V3S 0E0,48.430433,-123.330442,Pending Review,Oak Bay-Gordon Head,Contact_Centre_Update_2026Q2.csv,2024-09-18,2026-06-17,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00003,Jamie,Public,1960,8882 Bay St,Esquimalt,V2H 4Y8,48.436478,-123.438479,Inactive,Esquimalt-Metchosin,Online_Registration_Extract_2026Q2.csv,2026-03-10,2026-06-20,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00004,Parker,Public,1973,4404 Harbour View Rd,Saanich,V5S 5G3,48.485528,-123.357501,Active,Saanich South,Contact_Centre_Update_2026Q2.csv,2025-02-21,2026-06-20,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00005,Drew,Demo,2001,9566 Douglas St,Oak Bay,V9T 3G2,48.468959,-123.306734,Active,Victoria-Beacon Hill,Federal_Electors_Extract_2026Q2.csv,2025-07-30,2026-05-04,Oak Bay-Gordon Head,0,0,0,0,0,0,0,1,0,1,district_mismatch,1
SIM-VR-00006,Jamie,Example,1944,5838 Gorge Rd,Saanich,V5A 7V6,48.475943,-123.390892,Active,Victoria-Swan Lake,Federal_Electors_Extract_2026Q2.csv,2024-12-16,2026-06-20,Saanich South,0,0,0,0,0,0,0,1,1,2,district_mismatch; stale_record,1
SIM-VR-00007,Casey,Demo,1969,2040 Harbour View Rd,Victoria,V5P 4S3,48.44719,-123.388842,Active,Victoria-Swan Lake,VitalStats_Status_Update_2026Q2.csv,2025-07-30,2026-05-01,Victoria-Swan Lake,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00008,Drew,Sample,2002,3212 Cook St,Victoria,V2Y 3E2,48.41058,-123.387027,Active,Victoria-Beacon Hill,VitalStats_Status_Update_2026Q2.csv,2025-02-25,2026-05-23,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00009,Casey,Mock,2008,9787 Pandora Ave,Oak Bay,V1V 1X6,48.448447,-123.331743,Active,Oak Bay-Gordon Head,Contact_Centre_Update_2026Q2.csv,2025-02-25,2026-05-18,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00010,Jordan,Practice,1955,3654 Admirals Rd,Victoria,V7V 9B6,48.455552,-123.350532,Active,Victoria-Swan Lake,VitalStats_Status_Update_2026Q2.csv,2024-11-17,2026-05-27,Victoria-Swan Lake,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00011,Alex,Training,1978,5003 Pandora Ave,Oak Bay,V3J 4T0,48.458924,-123.326026,Active,Oak Bay-Gordon Head,Federal_Electors_Extract_2026Q2.csv,2024-07-11,2026-05-02,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00012,Hayden,Example,2006,3300 Fort St,Oak Bay,V9R 0A9,48.462078,-123.295747,Active,Oak Bay-Gordon Head,ICBC_Address_Update_2026Q2.csv,2025-07-17,2026-05-18,Oak Bay-Gordon Head,0,1,0,0,0,0,0,0,0,1,duplicate_person_address,1
SIM-VR-00013,Reese,Demo,1983,3400 Shelbourne St,Saanich,V9B 7A1,48.472471,-123.379922,Active,Saanich South,ICBC_Address_Update_2026Q2.csv,2026-01-29,2026-05-19,Saanich South,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00014,Reese,Synthetic,1996,6358 Admirals Rd,Oak Bay,V5C 1E5,48.429768,-123.299034,Active,Oak Bay-Gordon Head,ICBC_Address_Update_2026Q2.csv,2025-07-21,2026-06-15,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00015,Jamie,Practice,1984,504 Cedar Hill Rd,Esquimalt,V2C 4H7,48.433881,-123.436998,Active,Esquimalt-Metchosin,VitalStats_Status_Update_2026Q2.csv,2026-06-07,2026-05-01,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00016,Jamie,Public,1960,4640 Admirals Rd,Victoria,12345,48.42676,-123.368266,Inactive,Victoria-Beacon Hill,VitalStats_Status_Update_2026Q2.csv,2026-03-04,2026-05-16,Victoria-Beacon Hill,0,0,0,1,0,0,0,0,0,1,invalid_postal_code,1
SIM-VR-00017,Jamie,Training,1984,8943 Cedar Hill Rd,Saanich,V7H 8J4,48.489814,-123.377443,Active,Saanich South,Contact_Centre_Update_2026Q2.csv,2025-01-20,2026-06-24,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00018,Reese,Placeholder,1985,2411 Bay St,Victoria,V1V 2Y8,48.419509,-123.389279,Pending Review,Victoria-Beacon Hill,Contact_Centre_Update_2026Q2.csv,2025-11-10,2026-05-23,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,0,0,,1
SIM-VR-00019,Morgan,Placeholder,1952,5278 Cook St,Saanich,V4E 8C0,48.471644,-123.373314,Pending Review,Saanich South,ICBC_Address_Update_2026Q2.csv,2026-03-19,2026-05-03,Saanich South,0,0,0,0,0,0,0,0,0,0,,1
SIM-VR-00020,Hayden,Synthetic,1986,3915 Fort St,Victoria,V9V 9S2,48.436776,-123.359298,Active,Victoria-Swan Lake,Online_Registration_Extract_2026Q2.csv,2025-08-28,2026-05-01,Victoria-Swan Lake,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00021,Quinn,Practice,2001,2513 Douglas St,Saanich,V6N 1V3,48.468916,-123.390678,Active,Saanich South,ICBC_Address_Update_2026Q2.csv,2025-02-27,2026-06-19,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
